code_id,label,description
01,Màn hình cảm ứng lớn,"Màn hình cảm ứng lớn giúp dễ dàng thao tác và quan sát, phù hợp cho người lớn tuổi"
02,Thiết kế cửa trượt,"Cửa trượt giúp tiết kiệm không gian, dễ mở và đóng, phù hợp với không gian nhỏ"
03,Combo giặt và sấy,"Kết hợp giặt và sấy giúp tiết kiệm thời gian, không cần phơi đồ ngoài trời"
04,Công nghệ khí nóng kép,"Giúp quần áo mềm mại, bông xốp, không bị nhăn, tiết kiệm thời gian là ủi"
05,Chân chống nắp máy,"Giúp lồng giặt thông thoáng, ngăn ngừa nấm mốc, dễ dàng thao tác"
06,Máy sấy thông hơi,"Giúp quần áo khô nhanh, tiện lợi trong mọi điều kiện thời tiết"
07,Thiết kế hiện đại,"Thiết kế máy giặt và máy sấy hiện đại, tinh tế, tiết kiệm không gian"
08,Lồng sấy kích thước lớn,"Lồng sấy lớn giúp dễ dàng bỏ và lấy đồ, phù hợp với khối lượng lớn"
09,Bảng điều khiển dễ sử dụng,"Bảng điều khiển có nhiều tiện ích, dễ dàng lựa chọn chế độ giặt"
99,Khác / Other,Các ý không thuộc mã nào trên
