ResID,Question,Verbatim,Codes,CodeLabels,Confidence,IsCoded,NeedsReview,Note
2001,Concept_Like_1,"Dễ dàng sử dụng,phù hợp mọi lứa tuổi có thể sử dụng được
Thiết kế trang nhã đẹp mắt, dễ vệ sinh lau chùi
Ko
Ko
Ko",01|10|02|04,Dễ sử dụng / Thao tác|Phù hợp nhiều đối tượng|Thiết kế / Thẩm mỹ|Dễ vệ sinh / Tự vệ sinh,1.0,True,False,
2001,Concept_Like_2,"Thiết kế trượt hiện đại, tiết kiệm diện tích sử dụng
Không
Ko
Ko
Ko",02|03,Thiết kế / Thẩm mỹ|Tiết kiệm không gian / Diện tích,1.0,True,False,
2001,Concept_Like_3,"Chân chống nắp máy giúp cho máy giặt thông thoáng khô tự nhiên, ngăn ngừa được ẩm mốc
Ko
Ko
Ko
Ko",08,Thông thoáng / Ngăn ngừa ẩm mốc,1.0,True,False,
2001,Concept_Like_4,"Bảng điều khiển có màn hình cảm ứng hiển thị lớn giúp thao tác sử dụng dễ dàng
Ko
Ko
Ko
Ko",09|01,Thông tin / Hiển thị rõ ràng|Dễ sử dụng / Thao tác,1.0,True,False,
2001,Concept_Like_5,"Bảng điều khiển có thể gấp gọn tiện dụng để tiện cho việc vệ sinh máy dễ dàng tiết kiệm không gian giặt giũ
Ko
Ko
Ko
Ko",04|03,Dễ vệ sinh / Tự vệ sinh|Tiết kiệm không gian / Diện tích,1.0,True,False,
2001,Concept_Like_6,"Điều khiển bằng giọng nói giúp tiện dụng, dễ dàng, công nghệ thông minh giúp con ngừoi dễ dàng điều khiển được máy giặt theo ý muốn
Ko
Ko
Ko
Ko",05|01,Công nghệ thông minh / Tự động hóa|Dễ sử dụng / Thao tác,1.0,True,False,
2001,Concept_Like_7,"Tự động loại bỏ xơ vải không cần làm thủ công
Không cần vệ sinh thủ công, công nghệ mới
Tiết kiệm thời gian, nhanh hơn trong quá trình giặt
Không
Không",05|04|06,Công nghệ thông minh / Tự động hóa|Dễ vệ sinh / Tự vệ sinh|Tiết kiệm thời gian,1.0,True,False,
2001,Concept_Like_8,"Dễ vệ sinh và tự vệ sinh không cần thuê thợ
Tiết kiệm được chi phí vệ sinh
Không
Không
Không",04|07,Dễ vệ sinh / Tự vệ sinh|Tiết kiệm chi phí,1.0,True,False,
2001,Concept_Like_9,"Bề mặt mô phỏng giúp người sử dụng dễ nhận biết được máy giặt đang giặt chế độ nước nóng hay lạnh
Ko
Ko
Ko
Ko",09,Thông tin / Hiển thị rõ ràng,1.0,True,False,
2001,Concept_Like_10,"Có đèn lead chiếu sáng bên trong lồng giặt để dễ nhận biết được máy đang dùng chế độ giặt nước nóng hay lạnh
Ko
Ko
Ko
Ko",09,Thông tin / Hiển thị rõ ràng,1.0,True,False,
2002,Concept_Like_1,"Thiết kế vừa vặn có thể để kê lên cao giúp tối đa diện tích không gian nhà
Khối lượng sấy nhiều có thể cho mình sấy được cả chăn
Ko
Ko
Ko",03|11,Tiết kiệm không gian / Diện tích|Khả năng giặt / Sấy,1.0,True,False,
2002,Concept_Like_2,"Tối đa được diện tích hạn chế cho không gian giặt giũ cho những không gian nhà bé
Ko
Ko
Ko
Ko",03,Tiết kiệm không gian / Diện tích,1.0,True,False,
2002,Concept_Like_3,"Chân chống nắp giúp thông thoáng lồng giặt giúp mình không cần mở hết nắp máy
Ko
Ko
Ko
Ko",08,Thông thoáng / Ngăn ngừa ẩm mốc,1.0,True,False,
2002,Concept_Like_4,"Bảng điều khiển cảm ứng cho mình thao tác dễ sử dụng chọn lựa chế độ giặt hơn. Dễ dàng cập nhập được nhiều tính năng mới
Ko
Ko
Ko
Ko",01|05,Dễ sử dụng / Thao tác|Công nghệ thông minh / Tự động hóa,0.95,True,False,Cập nhập tính năng mới được hiểu là một lợi ích của công nghệ thông minh.
2002,Concept_Like_5,"Bảng điều khiển gấp gọn cảm thấy thiết kế hiện đại, tiênn dụng. Dễ dàng điều chỉnh để vệ sinh lau chùi
Ko
Ko
Ko
Ko",02|04,Thiết kế / Thẩm mỹ|Dễ vệ sinh / Tự vệ sinh,1.0,True,False,
2002,Concept_Like_6,"Điều khiển bằng giọng nói là công nghệ thông minh giúp mình lựa chọn chương trình giặt bằng cảm biến tự động
Ko
Ko
Ko
Ko",05,Công nghệ thông minh / Tự động hóa,1.0,True,False,
2002,Concept_Like_7,"Tiết kiệm thời gian giúp mình không cần chủ động vệ sinh
Tự động xả sạch sơ vải giúp mình không mất thời gian kiểm tra và vệ sinh
Ko
Ko
Ko",06|05|04,Tiết kiệm thời gian|Công nghệ thông minh / Tự động hóa|Dễ vệ sinh / Tự vệ sinh,1.0,True,False,
2002,Concept_Like_8,"Có thể tự tháo lắp mâm giặt để vệ sinh giúp mình chủ động hơn việc vệ sinh máy giặt không cần gọi dịch vụ vệ sinh ngoài
Ko
Ko
Ko
Ko",04|07,Dễ vệ sinh / Tự vệ sinh|Tiết kiệm chi phí,1.0,True,False,
2002,Concept_Like_9,"Thiết kế vân đá giúp không gian nội thất trong nhà hiện đại sang trọng
Có đèn báo hoạt động giúp dễ dàng cập nhập tình trạng giặt
Ko
Ko
Ko",02|09,Thiết kế / Thẩm mỹ|Thông tin / Hiển thị rõ ràng,1.0,True,False,
2002,Concept_Like_10,"Thiết kế bề mặt vân đá giúp không gian trong nhà hiện đại hơn
Ko
Ko
Ko
Ko",02,Thiết kế / Thẩm mỹ,1.0,True,False,
2003,Concept_Like_1,"Thiết kế bảng điều khiển ở phía dưới giúp tất cả mọi người trong nhà đều có thể dễ dàng thao tác
Tay nắm cửa ở vị trí thấp giúp mở cửa sấy dễ dàng phù hợp với cả người có chiều cao khiêm tốn
Ko
Ko
Ko",01|10,Dễ sử dụng / Thao tác|Phù hợp nhiều đối tượng,1.0,True,False,
