code_id,label,description
01,Thiết kế chân chống,"Chân chống không an toàn, dễ gãy, gây trầy xước hoặc không phù hợp với gia đình có trẻ nhỏ"
02,Bảng điều khiển,"Bảng điều khiển gấp gọn không cần thiết, dễ hư hỏng, không quen sử dụng"
03,Nắp trượt,"Nắp trượt không trượt hết, dễ hư hỏng, bất tiện khi sử dụng"
04,Bề mặt mô phỏng vân đá,"Bề mặt dễ bám bụi, nhìn cũ, không phù hợp với nội thất"
05,Đèn led trong lồng giặt,"Đèn led không cần thiết, lo ngại về độ bền khi tiếp xúc với nước"
06,Công nghệ thông minh,"Chưa rõ ràng về công nghệ thông minh tích hợp, không thấy mới mẻ"
07,Khối lượng và kích thước,"Khối lượng giặt nhỏ, không chứa hết quần áo, kích thước không rõ ràng"
08,Thiết kế tổng thể,"Thiết kế không sang trọng, màu sắc không hấp dẫn"
09,Tính năng không cần thiết,"Tính năng không cần thiết như giặt nước nóng, đèn báo hoạt động"
10,Khác / Other,Các ý không thuộc mã nào trên
