code_id,label,description
01,Thiết kế cửa lớn,Cửa lồng sấy có kích thước lớn giúp dễ dàng bỏ và lấy đồ
02,Bảng điều khiển tiện lợi,"Bảng điều khiển dễ sử dụng, có thể gấp gọn hoặc điều chỉnh góc độ"
03,Điều khiển giọng nói,"Có thể điều khiển máy giặt bằng giọng nói, không cần bấm nút"
04,Tiết kiệm thời gian và chi phí,"Tự động xả sạch xơ vải, không cần vệ sinh thủ công, tự vệ sinh máy"
05,Thiết kế hiện đại,"Thiết kế thanh lịch, tinh tế, phù hợp với không gian nội thất"
06,Chống nấm mốc,"Thiết kế giúp lồng giặt thông thoáng, ngăn ngừa nấm mốc"
07,Màn hình cảm ứng,"Màn hình cảm ứng lớn, dễ thao tác và cập nhật tính năng mới"
08,Vật liệu vân đá,"Bề mặt vật liệu mô phỏng vân đá, tạo cảm giác sang trọng"
09,Đèn led chiếu sáng,"Đèn led chiếu sáng trong lồng giặt, giúp dễ quan sát"
10,Thiết kế cửa trượt,"Cửa trượt giúp tiết kiệm không gian, tránh va chạm"
99,Khác / Other,Các ý không thuộc mã nào trên
